"UTC date/time","Unix UTC timestamp","lat","lon","callsign","wind from","knots","gust","barometer","air temp","dew point","water temp"
"2013-Feb-20 1505", 1361372700, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1456", 1361372160, 68.460000, -65.242000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1443", 1361371380, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1343", 1361367780, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1329", 1361366940, 68.462000, -65.250000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1321", 1361366460, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1313", 1361365980, 68.462000, -65.248000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1305", 1361365500, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1150", 1361361000, 68.463000, -65.243000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1127", 1361359620, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1021", 1361355660, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 1013", 1361355180, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0949", 1361353740, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0948", 1361353680, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0846", 1361349960, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
"2013-Feb-20 0828", 1361348880, 68.463000, -65.249000, 47559, NULL, NULL, NULL, NULL, NULL, NULL, NULL
