ID,yyyy,mm,dd,hh,lat,long
300034013464160,2013,8,25,3,79.2945,-71.2404
300034013464160,2013,8,25,4,79.2945,-71.2400666667
300034013464160,2013,8,25,5,79.2945166667,-71.2394666667
300034013464160,2013,8,25,6,79.2943333333,-71.2389666667
300034013464160,2013,8,25,7,79.2942166667,-71.2394333333
300034013464160,2013,8,25,8,79.2944,-71.2418333333
300034013464160,2013,8,25,9,79.29455,-71.2473333333
300034013464160,2013,8,25,10,79.2943166667,-71.2553
300034013464160,2013,8,25,11,79.2939833333,-71.2613166667
300034013464160,2013,8,25,12,79.2938333333,-71.2633
300034013464160,2013,8,25,13,79.29385,-71.2631
300034013464160,2013,8,25,14,79.2938666667,-71.2631166667
300034013464160,2013,8,25,15,79.2938666667,-71.2630333333
300034013464160,2013,8,25,16,79.2938833333,-71.2628
300034013464160,2013,8,25,17,79.2938833333,-71.2625166667
300034013464160,2013,8,25,18,79.2938333333,-71.2626666667
300034013464160,2013,8,25,19,79.2935333333,-71.2654166667
300034013464160,2013,8,25,20,79.29305,-71.2709833333
300034013464160,2013,8,25,21,79.292,-71.2779666667
300034013464160,2013,8,25,22,79.2906333333,-71.2836333333
300034013464160,2013,8,25,23,79.2897333333,-71.28625
300034013464160,2013,8,26,0,79.2897166667,-71.2863
300034013464160,2013,8,26,1,79.29025,-71.2847166667
300034013464160,2013,8,26,2,79.29105,-71.2819333333
300034013464160,2013,8,26,3,79.2917833333,-71.2786
300034013464160,2013,8,26,4,79.2923,-71.27565
300034013464160,2013,8,26,5,79.2926,-71.2737166667
300034013464160,2013,8,26,6,79.2924833333,-71.2744833333
300034013464160,2013,8,26,7,79.29185,-71.2788333333
300034013464160,2013,8,26,8,79.2905166667,-71.2844
300034013464160,2013,8,26,9,79.2886666667,-71.2887666667
300034013464160,2013,8,26,10,79.2867833333,-71.29055
300034013464160,2013,8,26,11,79.2857166667,-71.29055
300034013464160,2013,8,26,12,79.2859,-71.2906166667
300034013464160,2013,8,26,13,79.2867166667,-71.2905333333
300034013464160,2013,8,26,14,79.2876,-71.2898666667
300034013464160,2013,8,26,15,79.2882833333,-71.2890166667
300034013464160,2013,8,26,16,79.2886833333,-71.2884
300034013464160,2013,8,26,17,79.28875,-71.2882
