"beacon","year","month","day","hour","minute","lat","lon","airTemp","batt","atmPres","FormatID","obs","gps_time","speed"
"463170",2012,1,1,8,10,74.51415,-93.85963333,-99,9,-99,0,50,2012-01-01 08:10:00,0.0111309548192741
"463170",2012,1,1,8,20,74.51415,-93.85963333,-99,9,-99,0,51,2012-01-01 08:20:00,0
"463170",2012,1,1,8,30,74.51415,-93.85963333,-99,9,-99,0,52,2012-01-01 08:30:00,0
"463170",2012,1,1,8,40,74.51415,-93.85963333,-99,9,-99,0,53,2012-01-01 08:40:00,0
"463170",2012,1,1,8,50,74.51415,-93.85963333,-99,9,-99,0,54,2012-01-01 08:50:00,0
"463170",2012,1,1,9,0,74.51516667,-93.8394,-99,9,-99,0,55,2012-01-01 09:00:00,3.67155870880018
"463170",2012,1,1,9,10,74.51518333,-93.8394,-99,9,-99,0,56,2012-01-01 09:10:00,0.0111309548192741
"463170",2012,1,1,9,20,74.51518333,-93.8394,-99,9,-99,0,57,2012-01-01 09:20:00,0
"463170",2012,1,1,9,30,74.51518333,-93.8394,-99,9,-99,0,58,2012-01-01 09:30:00,0
"463170",2012,1,1,9,40,74.51518333,-93.8394,-99,9,-99,0,59,2012-01-01 09:40:00,0
"463170",2012,1,1,9,50,74.51518333,-93.8394,-99,9,-99,0,60,2012-01-01 09:50:00,0
"463170",2012,1,1,10,0,74.51588333,-93.82455,-99,9,-99,0,61,2012-01-01 10:00:00,2.68901790831073
"463170",2012,1,1,10,10,74.5159,-93.82455,-99,9,-99,0,62,2012-01-01 10:10:00,0.0111309548192741
"463170",2012,1,1,10,20,74.5159,-93.82455,-99,9,-99,0,63,2012-01-01 10:20:00,0
"463170",2012,1,1,10,30,74.5159,-93.82455,-99,9,-99,0,64,2012-01-01 10:30:00,0
"463170",2012,1,1,10,40,74.5159,-93.82455,-99,9,-99,0,65,2012-01-01 10:40:00,0
"463170",2012,1,1,10,50,74.5159,-93.82455,-99,9,-99,0,66,2012-01-01 10:50:00,0
"463170",2012,1,1,11,0,74.51615,-93.81398333,-99,9,-99,0,67,2012-01-01 11:00:00,1.89157993781284
"463170",2012,1,1,11,10,74.51615,-93.81398333,-99,9,-99,0,68,2012-01-01 11:10:00,0
