"beacon","year","month","day","hour","minute","lat","lon","airTemp","batt","atmPres","FormatID","obs","gps_time","speed"
"BUOY1.",2013,2,20,22,0,68.0702,-64.52,-23.3,10.4,0,40,47,2013-02-20 22:00:00,0
"BUOY1.",2013,2,20,23,0,68.0702,-64.52,-23.9,10.2,0,40,48,2013-02-20 23:00:00,0
"BUOY1.",2013,2,21,0,0,68.0702,-64.52,-24.3,10.2,0,40,49,2013-02-21 00:00:00,0
"BUOY1.",2013,2,21,1,0,68.0702,-64.52,-24.7,10.2,0,40,50,2013-02-21 01:00:00,0
"BUOY1.",2013,2,21,2,0,68.0702,-64.5202,-25.1,10.2,0,40,51,2013-02-21 02:00:00,0
"BUOY1.",2013,2,21,3,0,68.0702,-64.52,-25.3,10.2,0,40,52,2013-02-21 03:00:00,0
"BUOY1.",2013,2,21,4,0,68.0702,-64.52,-25.4,10.2,0,40,53,2013-02-21 04:00:00,0
"BUOY1.",2013,2,21,5,0,68.07,-64.5196,-25.5,10.2,0,40,54,2013-02-21 05:00:00,0
"BUOY1.",2013,2,21,6,0,68.0702,-64.52,-25.6,10.2,0,40,55,2013-02-21 06:00:00,0
"BUOY1.",2013,2,21,7,0,68.0702,-64.52,-25.7,10.2,0,40,56,2013-02-21 07:00:00,0
"BUOY1.",2013,2,21,8,0,68.0702,-64.52,-25.7,10.2,0,40,57,2013-02-21 08:00:00,0
"BUOY1.",2013,2,21,9,0,68.0702,-64.52,-25.8,10.2,0,40,58,2013-02-21 09:00:00,0
"BUOY1.",2013,2,21,10,0,68.0702,-64.52,-26,10.2,0,40,59,2013-02-21 10:00:00,0
"BUOY1.",2013,2,21,11,0,68.0702,-64.52,-26.2,10.2,0,40,60,2013-02-21 11:00:00,0
"BUOY1.",2013,2,21,12,0,68.0702,-64.52,-26.4,10.2,0,40,61,2013-02-21 12:00:00,0
"BUOY1.",2013,2,21,13,0,68.0702,-64.52,-26.5,10.2,0,40,62,2013-02-21 13:00:00,0
