"beacon","year","month","day","hour","minute","lat","lon","airTemp","batt","atmPres","formatID","obs","gps_time","speed"
"300234",2014,2,20,16,56,62.9785283333,-62.3073516667,-99,4.3059629136,-99,-99,41,2014-02-20 16:56:00,0.757082280535144
"300234",2014,2,20,17,56,62.9761566667,-62.292775,-99,4.3108504992,-99,-99,42,2014-02-20 17:56:00,0.783102421545084
"300234",2014,2,20,18,56,62.9732883333,-62.28156,-99,4.3157380848,-99,-99,43,2014-02-20 18:56:00,0.650970591361562
"300234",2014,2,20,19,56,62.96916,-62.277035,-99,4.301075328,-99,-99,44,2014-02-20 19:56:00,0.513424243778492
"300234",2014,2,20,20,56,62.96408,-62.2808916667,-99,4.3157380848,-99,-99,45,2014-02-20 20:56:00,0.59822868053448
"300234",2014,2,20,21,56,62.95822,-62.291685,-99,4.3157380848,-99,-99,46,2014-02-20 21:56:00,0.850815255139326
"300234",2014,2,20,22,57,62.95165,-62.3073633333,-99,4.3108504992,-99,-99,47,2014-02-20 22:57:00,1.06151440959955
"300234",2014,2,20,23,56,62.944705,-62.3229816667,-99,4.3157380848,-99,-99,48,2014-02-20 23:56:00,1.12462337091542
"300234",2014,2,21,0,56,62.9375933333,-62.3353983333,-99,4.3108504992,-99,-99,49,2014-02-21 00:56:00,1.01099994802308
"300234",2014,2,21,1,56,62.9307816667,-62.3421433333,-99,4.3157380848,-99,-99,50,2014-02-21 01:56:00,0.831692859967358
"300234",2014,2,21,2,56,62.9248383333,-62.3416233333,-99,4.3059629136,-99,-99,51,2014-02-21 02:56:00,0.662140352189027
"300234",2014,2,21,3,56,62.9196883333,-62.3348716667,-99,4.3059629136,-99,-99,52,2014-02-21 03:56:00,0.667627201166775
"300234",2014,2,21,4,56,62.9149233333,-62.322615,-99,4.3108504992,-99,-99,53,2014-02-21 04:56:00,0.816850342822661
"300234",2014,2,21,5,56,62.9122383333,-62.3102766667,-99,4.3059629136,-99,-99,54,2014-02-21 05:56:00,0.693161010502495
"300234",2014,2,21,6,56,62.908435,-62.3016266667,-99,4.3157380848,-99,-99,55,2014-02-21 06:56:00,0.609542092371985
"300234",2014,2,21,7,56,62.9044633333,-62.2976666667,-99,4.3157380848,-99,-99,56,2014-02-21 07:56:00,0.485579943950004
"300234",2014,2,21,8,57,62.9004066667,-62.30177,-99,4.3059629136,-99,-99,57,2014-02-21 08:57:00,0.489068354036382
"300234",2014,2,21,9,56,62.8963233333,-62.3116433333,-99,4.301075328,-99,-99,58,2014-02-21 09:56:00,0.687735221498677
"300234",2014,2,21,10,56,62.8918116667,-62.3265483333,-99,4.3108504992,-99,-99,59,2014-02-21 10:56:00,0.907632381986046
"300234",2014,2,21,11,56,62.887005,-62.3437233333,-99,4.3108504992,-99,-99,60,2014-02-21 11:56:00,1.02247321700035
"300234",2014,2,21,12,57,62.8815933333,-62.3576416667,-99,4.3059629136,-99,-99,61,2014-02-21 12:57:00,0.913027989908869
"300234",2014,2,21,13,56,62.8762333333,-62.3647533333,-99,4.301075328,-99,-99,62,2014-02-21 13:56:00,0.709154818981305
"300234",2014,2,21,14,56,62.8710283333,-62.3649216667,-99,4.3059629136,-99,-99,63,2014-02-21 14:56:00,0.579487241251685
"300234",2014,2,21,15,56,62.86602,-62.3592316667,-99,4.3059629136,-99,-99,64,2014-02-21 15:56:00,0.62791743602828
"300234",2014,2,21,16,57,62.8611216667,-62.348865,-99,4.3059629136,-99,-99,65,2014-02-21 16:57:00,0.745464007291205
"300234",2014,2,21,17,56,62.8555283333,-62.33684,-99,4.3108504992,-99,-99,66,2014-02-21 17:56:00,0.88691709046423
"300234",2014,2,21,18,56,62.8496283333,-62.32635,-99,4.3108504992,-99,-99,67,2014-02-21 18:56:00,0.84574112603981
